sent	label
Pls remind me to ask my gf why her boss shouted at her	ask my gf why her boss shouted
Next reminder	Not Found
I need a reminder. Every day. At 2.30 pm and 5.30 pm to message my wife.	message my wife
Tuesday remind Mrs manna for ground	Mrs manna for ground
I want set sm reminder for tomorrow n the day aftr tomorrow	Not Found
Remind me today at 8:45pm for get dress from ironing	get dress from ironing
Set alarm for tuition	Not Found
Want a reminder at 8.20pm	Not Found
Remind me to select the best T-shirt from my collection	select the best T-shirt
2 pm now meeting today	meeting
remind to download MAT admit card on 3rd december 2pm	download MAT admit card
Remind me @ 11 30 to buy tissue papers	buy tissue papers
I am too much worried about her health	much worried about her health
Remind me at 4 pm about tea	tea
Could you additionally remind me to pay my mobile bill.on 7th december	pay my mobile bill.on
Small help about	Not Found
Can u remind to get my bathroom cleaned by anil bhaiya every 25th of every month	get my bathroom cleaned
Can u start your reminder from 8.30am to 5 pm	Not Found
But I want you to call her n wish ..is tht possible?	call her n wish ..is tht possible?
Already done...Thanks for the reminder	Not Found
Remind me to go for the purchase of kites at 1:30	go for the purchase of kites
Call me at 8:30 am	Call me
Pls schedule this for tomorrow 1pm..	Not Found
Now i will have to go and find ur settings tab to get rid of your disturbing notifications every hour!!!!! I would rather uninstall this app.	go and find ur settings tab and get rid of your disturbing notifications and rather uninstall this app
Call hotel moriz, mysore today at 9.30 pm regarding room confirmation	Call hotel moriz, mysore and regarding room confirmation
Remind me at six today 6pm	Not Found
Good morning. ..Thank you, nothing for now	..Thank you, nothing
Remind me to issue cheque book on coming monday at 10:30	issue cheque book
Alarm for 7	Not Found
Deepika please set the scheduled time	Not Found
Remind me to buy kunda by tomorrow evening	buy kunda
Remind me to go to Dr OP Garg on 29 at 8:30 am	go to Dr OP Garg
Can you please remind me to message Amy ma'am about songs and send email to christ tomorrow at 11 am? And another reminder at 5 pm?	message Amy ma'am about songs and send email to christ and ? And another reminder
Badha reminder bandh kro	bandh kro
Remind me about the Gina festival in Jaipur on 19th January maybe you tell me before the 19th July 17th of January	the Gina festival
Remind me on 5-01-2017 at 11:30 pm to make a caller tune for birthday	make a caller tune for birthday
I want to be reminded everyday	Not Found
I need about bus traveling	bus traveling
I want to change the time of reminder	Not Found
can u remind me to withdraw rupees from atm	withdraw rupees
Remind me to ask for my s6edge covers from my sister tomorrow morning around 8.30am	ask for my s6edge covers from my sister
Remind me take headphones from pujan	take headphones from pujan
Remind me to bring gift tomorrow at 11:00 AM	bring gift
Remind me on 5th dec at 4:30 pm to do web chk in	do web chk
Project reminder	Not Found
U have to just remind me for to do college work classes work etc.	do college work classes work etc
Remind me this week full	Not Found
Kindly remind me the loan of rupees 2000 given to Mom office colleague RAM SINGH JI	colleague RAM SINGH JI
Remind me on 9 pm salad	Not Found
Remind me to bring chocolate for gals at 9:30am	bring chocolate for gals
To go you New Horizon College at 11.30am	go you New Horizon College
Remind me on Thursday to work on plan for Indian Angel Network	work on plan for Indian Angel Network
Remind on monday deposit money for convocation	deposit money for convocation
After 30 mins reminder	Not Found
Yes please mam	Not Found
Remind me on 9.30 am amd 9.24 am	Not Found
Can u plz remind me the same tonight at 9:30 pm ?	Not Found
tomorrow i want to buy some groceries will you remind me	buy some groceries
Please do remind	Not Found
From 12th December to 17th December set a reminder at 6.00pm that I have to attend online classes	attend online classes
You have to remind me on these days for fasting	remind me on these days for fasting
Can u put 6 alarms together in a gap of 10min	alarms together
Again remind me at tomorrow afternoon	Not Found
Remind me after 5 minutes to beat valiant	beat valiant
Hi Pavani.	Hi Pavani
Please remind me at 8 am and 9 am in the morning and speak a message to do a aarti booking at vaishno devi	do a aarti booking at vaishno devi
I need one more remainder can you set for me	Not Found
What if i want you u to remind me everyday of the week	Not Found
alarm plss mam	Not Found
4th jan	Not Found
Remind me to take a snapshot of the passbook for address proof at 9 pm	take a snapshot of the passbook for address proof
Set the second reminder also	Not Found
y arent you calling me	calling me
Can u give me this reminder regularly	Not Found
Can you explain me a little about web check in of flight	web check and flight
Set reminder for tomorrow 11am	Not Found
Plz remind me everyday	Not Found
Set a reminder for bus booking on 22nd December and 23rd December	bus booking
Thanks, and sorry I called u honey. I thought its a virtual assistant. I was joking.	Not Found
Please remind me about sql paper checking around 11am	sql paper checking around 11am
11:50pm	Not Found
Hey need med reminder at 5.30 and 10.30 today	5.30 and 10.30
Remember me calling my friend tomorrow morning	calling my friend
Hello, please remind me to place an order for Trims... After one week exactly.	place an order for Trims...
Remind me at 9:30 am	Not Found
It would be a call ?	It would be a call
Can u ring me thrice ?	Not Found
CALL SAJI BROKER AT 10AM TODAY	CALL SAJI BROKER
Remind me to wish my sister on 6 th January at 11.55 pm	wish my sister
Atit any scheduled for today?	Not Found
Can I get a SMS as reminder	Not Found
From 12 December remind me everyday	Not Found
If I set reminder here... How will I be notified?	How will I be notified
Same to u yaar	u yaar
Remind me at 9:30 a.m go to market and Gate coupons.	go to market and Gate coupons
And also set an alarm for 3.30 everyday except monday and tuesday	Not Found
Yaay ..thanks..I'm glad u have reminded me today without reminding u to remind me!!	remind me!!
Remind me on 12th jan for web Checkin	web Checkin
Why are you calling me.	Not Found
Unsubscribe this alarm	Not Found
Remind me at 4.30 about Amity	Not Found
remind me to collect metro card from abhishek today morning at 8.30 am	collect metro card from abhishek
Please remind me to arrange for Humsafar train maintenance and fuelling on every Thursday at 15:30 hrs	arrange for Humsafar train maintenance and fuelling
Shall we go for a movie, varsha :p	go for a movie
How will you remind me ??	How
Can you remind me to talk to mom at 2:10	talk to mom
Remind me to dinner at 10 o'clock	dinner
Remind me to get doc.'s appointment at 1:00pm tomo	get doc.'s appointment
Remind me to give papers for hyd house electricity name conversion	give papers for hyd house electricity name conversion
Remind me to eat healthy	eat healthy
I want to ask qus about my education . Whom should i ask .. please tell me	ask qus about my education
Please remind me access snapdeal app tomorrow	access snapdeal app
Can u please set reminder for premium payment of TATA AIA on 5 December 2016	premium payment of TATA AIA
Laundry reminder today at 17.30 hrs	Laundry
I want you to remind me at 8 pm today	Not Found
I want call on 919168886110	Not Found
Thanks.pls remind me once in 2 hours	Not Found
Hey I want remind	Not Found
Also set same reminder for 29 December for 7 pm	Not Found
Remind me today at 8:10pm	Not Found
I have to write SOP.pleade keep reminding me that	write SOP.pleade keep reminding me
I supposed that you were calling me but its a robot	Not Found
Set alarm	Not Found
I want to know about some good n cheap mehendi designers	some good n cheap mehendi designers
Set a reminder at 11.59	Not Found
Remind me tomorrow morning 8.45Am for to mail RR format to Joseph	mail RR format to Joseph
Remainder for 25th january 2017 at 11:50 PM, Raju's Birthday	Raju's Birthday
Remind me to buy birthday card at 12 10 pm today	buy birthday card
Is it you who will be reminding me always or who ever is online will do so?	who will be reminding me always or who ever and online will do so
Call me for gym time at 4:05 pm	Call me for gym time
please schedule till 2nd jan	Not Found
Mahesh i need regular reminders for alot of my business stuff	regular reminders for alot of my business stuff
Please remind to book tickets for dear zindagi	book tickets for dear zindagi
I want to keep reminder	keep reminder
Remind me for calling the licence agent on 9nov. 9am	calling the licence agent
Can u just set me a reminder for tomorrow	Not Found
N one thing Remind me for studying today at7am	studying
Its ok ...hey continue this schedule from saturaday plsss	Not Found
2643 bus remind me 6.40 pm today	Not Found
I hv already asked yesterday to set it nd it's already done	nd it's already done
Wen u I'll remind me	Not Found
Can u pls remind me to finish my study at 11 am today	finish my study
Please check after 5 mins about it...	it...
Remind me on Saturday	Not Found
Instead of giving a call please just send a message	Instead of giving a call
Can I set any reminder for till date 30.11.16	Not Found
Can you set a reminder everyday?	Not Found
I call 9629656931 number	Not Found
Remind me again at 11:30 plz!	Not Found
Remind me every hour except night 10 pm to morning 7 am	Not Found
By	Not Found
Joging remainder 6:10 pm daily	Not Found
And cancle my old reminder of night	Not Found
Remind me till 9.00pm	Not Found
Hey i want to cancle my wakeup alarm	cancle my wakeup alarm
How can I know the alarm sound	Not Found
Remind me tomorrow same time	Not Found
What about Sunday	Not Found
Wished him thanks for reminding	Not Found
Please remaind me to buy dandia sticks 9pm today	buy dandia sticks
Remind me of sreeja every 10 th hour	sreeja
Can you remind me about share market	share market
Pls remind me to take my calcium	take my calcium
Hey remind me to take copy from Divyanshu at 4:30pm today.	take copy from Divyanshu
Reminder for D3 on 6th Jan 9 PM	D3
Remind me for the question 0aper	the question 0aper
remind me to union bank today 09:30am for confirmation of Bike loan letter	union bank and confirmation of Bike loan letter
OK set milk reminder at 5.58 pm everyday..That's it for now..Thank u	Thank u
Thankz for reminding it	Not Found
Can u remind me at 10.45 to file tds	file tds
Alarm on my mobile or something else	Alarm and mobile or something else
Can you let me know of the alarm for tomorrow?	of the alarm
Will u get a call?	get a call
Remind me to grab things from the store at 1pm today.	grab things from the store
Call me at 4:30pm	Call me
Remind me to check for sample papers	check for sample papers
Remind me that i have to study for exams	study for exams
Remind me at 2:48 pm today	Not Found
Reminder me every day at 9:30 To brush my teeth	brush my teeth
This reminder is to enquire for swimming classes on Sunday	enquire for swimming classes
Or u can message me the reminder	Not Found
Call ajay morrow morning 10.11.16 @ 11	Not Found
Pls remind me on 15jan	Not Found
OK. Thank u. I called her n spoke	her n spoke
25/12/2016	Not Found
Remind me to create a profile on dubai drydock at 10.00 pm today	create a profile on dubai drydock
I am getting call	getting call
Please remind me on 30th morning 9am to book tatkal train tickets in Haptik	book tatkal train tickets
Ohk	Not Found
Hey can set my alarm for every Sunday with same time	Not Found
unset the reminder	Not Found
Please schedule a reminder for me on 10 th Jan 2017 for credit card payment	credit card payment
Please set the other alarms as well, as mention above	Not Found
How can I remove my previous reminder ?	Not Found
I have to catch train by 2.30 at Thane by tomorrow afternoon.. kindly do remind me by 1 o clock	catch train by 2.30 and do remind me by 1 o clock
Remind me on Monday at 7.30 for affiliate marketing session	affiliate marketing session
Alarm?	Alarm
Call Pranay on Monday at 11 am	Call Pranay
Put a reminder saying St Joseph central, 12 Dec 10 am	Not Found
Thankyou for reminding. Me .....	reminding. Me .....
Remember me about swathy bday tday night at 10pm	swathy bday
Hey can u give me reminder at 8:30pm today!?	Not Found
remind me to add cost of plastic mat in drawers	add cost of plastic mat in drawers
3 alarm set in gap of 5 mins	Not Found
Remind me of asking for exchange	asking for exchange
Please arrange for the reminder..	Not Found
Hi shraddha Just want you to remind me of my meeting with Manish from Priti-Manish On Monday the 26-12-2016 @11am	meeting with Manish
I need to buy eggs remind me at 8:30	buy eggs remind
Does the internet need to stay connected for the reminder to work?	work
Remind me to web check-in on 28 December 10:40 am	web check-in
Please set up a reminder	Not Found
10:45 am	Not Found
Thx for reminding me about checkup of body.	checkup of body
Set dinner time	Not Found
Reminder is to book the ticket	book the ticket
I want to change the time of alarm	change the time of alarm
How will u remind me?	How
1 more reminder plz	Not Found
Remind me to do the eco project at 3.00 pm	do the eco project
Remind me to meet Chirag today evening 4:00PM At Degree college	meet Chirag and Degree college
Ok fine	Not Found
Can you tell me about today horoscope	today horoscope
In about 10 mins	Not Found
Reminder on 11:35 am	Not Found
please schedule tablet reminder for me on every sunday at 11AM	Not Found
Sure pls set remember	Not Found
End all reminders.	End all reminders
Set remainder for my mom birthday on 12 dec please	my mom birthday
Can you remind me this birthday every year	Not Found
Hey set a reminder for 5:30 pm on sun 13 November for dance practice	dance practice
Remind it tomorrow	Not Found
Please remind me tomorrow morning at 9 to keep hard drive in bag.	keep hard drive
Remind me to mail for gfx in an hour	mail for gfx
Is there any charge for daily remainder.	there any charge
Remind me to take my register from warden mam	take my register
It is very important to me so please make call before the time	Not Found
Remind me for a appointment today at 3 pm	a appointment
Isnt this server based reminder?	Not Found
That reminder is for lunch	lunch
Remaind me to fill ink in pen today 9:30pm	fill ink in pen
Reminder for walking everyday at 05:00 PM.	walking
Reminders for par days	Not Found
dvd,fan,ticket book,garden,call rekha,iron,recharge,	ticket book and call rekha,iron,recharge,
I want u to reminder me from 10 pm to 8 am	Not Found
Thanks for the reminder. It really helped me to reach my office on time	helped me to reach my office
Now once call me	Not Found
next Wednesday	Not Found
Hey,can you remind me Bathing time ?	Not Found
Remind me to press today at 10pm	press
Remind me to start Studying at 4	start Studying
Remind me today 11.30 am for attached adhar card in idbi bank	attached adhar card in idbi bank
U sending me notification after half an hour i schduled to remind after after 1 hr.	U sending me notification
Please set a reminder for fruits	fruits
I dnt remember last time...there wer some people who called me ..as they come home to pick	last time...there wer some people who called me
Tomorrow by 10.30 I have an appointment can you please remind me on time	Not Found
Sorry set it at 10.50 AM	Not Found
wanna set reminders	Not Found
Remind me to book my tickets on 27 november	book my tickets
I have to book a movie ticket from Paytm with referral code please remind me in next 3 days	book a movie ticket
Please remind me that I need a signature of my dad today On some documents By 8:30 pm	I need a signature of my dad today On some documents
Can you please remind me for my morning exercise daily	my morning exercise
Can u set a reminder for 11:59 pm today	Not Found
Please set the reminder to one hour	Not Found
2 call pravin dental at 4.15pm today	call pravin dental
i need reminder	Not Found
Remind me about xamarin classes tomorrow at 9 AM	xamarin classes
Remind me to sleep	sleep
Remind me to upload record problem 8 at around 7 pm	upload record problem 8
At 1pm today remind me to take the print out	take the print out
Remind me to take the cheque at 9am tomorrow.	take the cheque
I want to deleate that reminder	Not Found
Set reminder at 7	Not Found
I will tell u when I'll need it	Not Found
Sorry pls call me on morning 6.30 am	Not Found
I dnt want to unfollow this reminder	Not Found
How will you send the reminder?	How
I want to change that reminder	Not Found
Everyday remind me like this.	Not Found
24th November 11am and 11:30am Call the person to ask reporting time and place	ask reporting time
Thanks and j have set so many alaems so that if i miss one icanget another	miss one icanget another
remind me 8:00 am	Not Found
Set reminder for breakfast	breakfast
Canel my alarm at 2am	Canel my alarm
Thanks a lot for remainder	Not Found
Can you remind me about my girlfriends monthly cycle. It started today.	my girlfriends monthly cycle. It started
Can you set a reminder	Not Found
Remind of some more this	some more this
Chenged the earlier reminder of 3rd feb for birthday	birthday
set up a general reminder	Not Found
Please Remind me to book a bus by 11AM today	book a bus
I need another alarm at 630am	another alarm
Reminder on 19 th	Not Found
Hey! Thanks for the reminder. :)	Not Found
Remind me to research about Getnatty.com	research about Getnatty.com
Can u make me remember to go gym	go gym
need to fix an alarm for meeting on monday 3 30	fix an alarm and meeting
I just got a msg about how much I can withdraw etc	how much I can withdraw etc
Can u set an alarm for 7.30?	Not Found
Reminder me to search colleges for pallavi	search colleges for pallavi
Can I be reminded at 9.00am?	Not Found
Ya remind me at 11 that I have to do my abs workout	do my abs workout
U said u will call	u will call
Please give reminder after 3 hour	Not Found
Can you remind me to pay the rent on 19th and 20th of every month	pay the rent
Remind me to wish Bavagaru on 24th of this month for his day	wish Bavagaru and this month for his day
Yes dear I called him	Not Found
I called him	Not Found
I need a remainder	Not Found
I am busy	Not Found
Can I put this alarm clock for every day	Not Found
Remind me to delete note tomm by 10:00	delete note tomm by 10:00
Tq fr remember me	Not Found
Its my daily remainder	Not Found
Tell me about the status of rupee to world	the status of rupee to world
You will remind me daily or only today	Not Found
Please remind me 5 min before	Not Found
Babu needs to bring Fevicol colours and crayon on tuesday. Remind me on Monday 9 pm	bring Fevicol colours and crayon
I need a reminder of somone	Not Found
REMIND ME ABOUt BREXIT... AT 3 PM TODAY	BREXIT...
hi. please remind me that Maya is coming on 2 December. Please remind me on 26 nov (saturday) at 12 pm	Maya is coming
"Reminder to"" take wallet and home key before leaving """	take wallet and home key
Thanx for reminder swapnil	Not Found
Everyday u will remind me?	Not Found
Thanku fr reminding the whole day :)	Not Found
Dimpi house pooja on 5th Jan - lunch - pls remind on 4th evening.	Dimpi house pooja and lunch - pls remind
Remind me to make a c v at 7 30 pm	make a c v
I have to go home at 7p.m. Remember me	go home
Hi set one more reminder	Not Found
Call Asim khan on Sunday at 3. PM	Call Asim khan
Thank you for reminding me its enough	Not Found
Yes remind me daily	Not Found
remind me to study	study
Set an alarm of 8:15am dated 29 dec	Not Found
are u sure about it?	Not Found
Can I edit the reminder?	Not Found
Remind a task	Not Found
Want to know if details about Tamil Professors in Salem	know if details about Tamil Professors
Now I can remind stuff on my own	stuff
Remind nagman catalogue	Not Found
Remind me once @ 10.30 i have to visit courier office	visit courier office
Reminder for coming Saturday.... Rath yatra	coming Saturday.... Rath yatra
I want to edit my to do	Not Found
I want review about gems b school	gems b school
Date 28th this month ratan remainder me	Not Found
Can you remind me to add roles in the morning at 8 am	add roles
Remind me about it 1 day before	Not Found
Late remainder	Not Found
Hi yes sure tq	Not Found
Remind me at12pm to text Akshay Nambiar	text Akshay Nambiar
Same reminder for Tomorrow!	Not Found
i dond need the calls today	Not Found
Remind me in 5 min	Not Found
Will the call be automated ?	Not Found
Plz remind me to to go in shree jalaram medical at tomorrow 10.30 am	go in shree jalaram medical
Sure but i m bussy right now	Not Found
Remind me to exercise at 8:00 am every day	exercise
Please deactivate this reminder for me	Not Found
Reminder name	Not Found
Can u send sms as well of the reminder	Not Found
Remind me to put imp doc in my bag	put imp doc in my bag
Another reminder at 6:30am	Another reminder
Actually I already created this reminder	Not Found
Remind me to get my bag @ 7 pm today	get my bag
Ok, thanks for reminding..	Not Found
Tomrrow remind me to go out at 5 pm for some work	go out and some work
Reminder at 4 for management hour	Not Found
Add another reminder	another reminder
Can I have a reminder set to purchase a shoe polish .	purchase a shoe polish
Let that alarm be discontinued for now	Not Found
I wanna know about this job what you do in haptik ?	know about this job what you do in haptik
Hey remind me that our regional manager's visit o. 11th jan	Not Found
Annu kalyanam kazhichilla..... Remind me at 7 30 pm	Annu kalyanam kazhichilla..... Remind me
Remind me at 5.10 today about the holiday	Not Found
Unrill i woke up.call me	Not Found
Need a reminder at 7 :15 today	Not Found
What was the reminder?	Not Found
Which remainder are you giving me ?	giving me
Time is 12:02pm lately comes reminder	comes reminder
Please surrender of all my alarm requests.	my alarm requests
Remind me of Deybakshi ... At 6 30 pm and 10 am 2morrow	Deybakshi ...
18 December lubna birthday	Not Found
I need to set one to do list for tomorrow	Not Found
You can schedule it from tomorrow.	Not Found
Thank you I remember now	Not Found
My reminder	Not Found
Plz remind it for costing	costing
Fr the reminder	Not Found
Can u send me .. birthday wish list.. reminders.	send me .. birthday wish list.. reminders
I want you to remind me about something	something
U can call me ammu	Not Found
Please create a reminder	Not Found
Reminder to collect my passbook from bank tomorrow 9 am	collect my passbook from bank
Thanks for the reminder :)	Not Found
Can call me	Not Found
I have to set a reminder	Not Found
Yes you can schedule it for everyday but starting from the 6th. I'll be at a conference till the 5th.	Not Found
Hey shud i increase the alarm volume??	Hey shud i increase
Can I know what topic of reminder u set and to which number.	which number
Hello shraddha! Can you tell me how many remainders have been saved for me tomorrow?	how many remainders have been saved for me
Can you remind someone on behalf of me ??	Not Found
Now can you inform me about my active reminders mm	Not Found
Call every 5minute till 3:30am on 22 Nov	Call
PleaSe put a reminder today for 11 45	put a reminder today for 11 45
Why do i get a good morning call at 10.30 pm these days?	Not Found
remind me today at 6 pm to watch tensport .	watch tensport
Hii remind me to watch TV at 7.30	watch TV
Remind me to tune on channel 166 at 6:25 pm today	tune on channel 166
Please remind me to put my towel in my bag at 7pm Today.	put my towel in my bag
Remind me to transfer money	transfer money
Study reminder	Not Found
Remind me to transfer amount to my friends account today night itself	transfer amount to my friends account
the reminder for 24 is saumik s post cheque	saumik s post cheque
Set alarm for 10:30 Am for today's date	Not Found
Can you change my reminder time to 1:58	Not Found
Yaaaa so kindly remind me	Not Found
remind me about my friend's marriage. it's on 1st Dec.	my friend's marriage. it's on 1st Dec
Call me at 5.00 am	Call me
And one reminder	Not Found
Call i wld like by 1pm!!	Call i wld like
Remind me to order coffee today 1pm	order coffee
Remind me to go to CA at 6 pm today	go to CA
can you remind me about me to study at 6:30 pm today	study
Remind me to wash my socks tomorrow	wash my socks
Remind me to study physiology tomorrow at 4 pm	study physiology
remind me to talk to rajat at morning 10am	talk to rajat
But what abt the details... What type of reminder is it?	But what abt the details... What type of reminder
Plzzz set alarm for 9:15	Not Found
Remind me for Dr. Kavthale appointment on 12 January	Dr. Kavthale appointment
Remind me to send price list to Niky techno zone tomorrow at 11.45am	send price list to Niky techno zone
Horoscope reminder of Capricorn everyday at 9am	Capricorn
Remind me on 6:30 pm to carry my pills in my backpack	carry my pills
Hi can you remind me to pick up my clothes from the laundry today b evening	pick up my clothes from the laundry
Alarm for 5pm today	Not Found
I need a reminder at 10am	Not Found
Can u remind me on 6:17 pm today ?	Not Found
Plz remind meri today call at 9:30pm	Not Found
Hey I need to set a reminder	Not Found
Remind me tomorrow to give Adira diary	give Adira diary
Remind me for a cab tomorrow at 11am	a cab
Call me now	Not Found
Please deactivate the above reminder	Not Found
Hi.. Remind me about uploading document and charging my mobile	uploading document and charging my mobile
Remind me tomorrow at 10 am	Not Found
Please remind me tomorrow , need to place orders for my brand bare leisure. Official work.	need to place orders for my brand bare leisure. Official work
I need second reminder	Not Found
Remind me to edit calendar arts ilaksha	edit calendar arts ilaksha
Tomorrow at 2 pm reminder	Not Found
Set my alarm by 9pm	Not Found
One more reminder i want	Not Found
Remind today at 6 pm	Not Found
Can you remind me at 11.45 am that I have 3 classes and I have to pack my bags today	I have 3 classes and I have to pack my bags
How will u remind me ??	How
One minute i want to set	Not Found
presentation done please remind me for the next task	presentation done
Just remind ne after 8 minutes	Not Found
I wana set one more reminder..	Not Found
Rudra Pooja tomorrow at 5pm , please remind	Rudra Pooja
I want cloths for my ring ceremony	Not Found
Remind me to have my sex pills	have my sex pills
remind me on 4th on second month to do hair spa time will be 6Pm.	do hair spa time
Remind me today at 6pm about citibank credit card payment	citibank credit card payment
U only call when I m online	U only call
plz remind me to take my pen card 2moro	take my pen card 2moro
Remind me on November 14 evening 6.00pm ...on that day I have to see the moon....okay	see the moon....okay
Actually there is a slight change in that reminder	there is a slight change
Remind me to make entry in passbook, get files home visit exhibition	make entry and get files home visit exhibition
Remind me to research about new Zealand	research about new Zealand
Remind me abt RTI at 7 PM	abt RTI
A reminder for workout as well	workout
Kamalesh please set alarm today morning 9.30 am to 10.00 am ... every 5 minutes in between ☺☺	Not Found
7568721088	Not Found
26th of this month I have ESD third internal .. Plz remind me before two days till 26th everyday..	ESD third internal .. Plz
Call me 10mins before i reach porur tollbooth	Not Found
Remind me at 8:00 pm today for Watching News	Watching News
Remind me to make a collage of my previous pics and frame it down !! Also one full size pic with my recent picture !! Remind this at 14.00 hrs 2 Jan 2017	make a collage of my previous pics and frame it down !! Also one full size pic with my recent picture !! Remind
Tomorrow plz remind me to go to colg for a session ...by 9:00am	go to colg for a session ...
U remember me	Not Found
Hi Shruti.... How would you remind me... In ways of alarm?!	Not Found
Set for me	Not Found
Can u remind me to walk / move every 30 min	walk / move
Make me reminder	Not Found
Remind me tomorrow at 4.0pm to make my daily time table	make my daily time table
Call me at 5:00 pm sharp	Not Found
Hello I want to make a reminder	Not Found
That reminder was for what?	was for what?
Do i have any reminder from now?	Not Found
You gotta remind me at 11.55	Not Found
Can you set reminder for 26 Dec for mobile recharge validity expire	26 Dec for mobile recharge validity expire
What tym did u remind me	Not Found
Reminder to book a ticket on Saturday	book a ticket
A reminder on 26th to pay insurance premium	pay insurance premium
Does the reminder works only when the net is on??	when the net
Remind me in about 15 minutes to book a tatkal ticket	book a tatkal ticket
Remind me in 5 min for going at shop	going
Remind me to prepare of AIIMS counselling which is tomorrow.	prepare of AIIMS counselling which
Also remind me to cut nails before meeting	cut nails and meeting
Remind me on 10 th Jan at 11 am Have to go to pune passport office	Have to go to pune passport office
I want a reminder scheduled for 08:00AM everyday.	Not Found
Thank u for ur unstoppable reminders.	ur unstoppable reminders
I am with him thank you for reminding	him thank you for reminding
Is it possible to blow alarm during reminder?	possible to blow alarm
Hi good morning.Thanks for reminding me..	Not Found
Morning. Sure, give me 15mins	give me 15mins
Remind me at six pm today to meet my manager	meet my manager
I wanna set a reminder	Not Found
Can u tell me my whole schedule	Not Found
Can u plz remind me the same on 14th dec at 11 pm	same on 14th dec
Are srijan yar reminder to read book kidhar hai	read book kidhar hai
You haven't reminded me	Not Found
4:00 pm	Not Found
Remind me this at this time day after tomorrow	Not Found
Yesterday igave	Not Found
Please remind me to give Supriya's treatment to VC at 12 pm today	give Supriya's treatment to VC
set a reminder	Not Found
Hi please please please remind me on 4:24pm on today	Not Found
Set reminder for every day.	Not Found
Nalaiku 8ku ..plz remind me	Not Found
Thank you ..	Not Found
